run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
143,.0051585,-.0017183,-.0002516,-.0003233,.0000116,.0000307,-3.51e-09,-6.47e-09
144,.0088926,.0301064,-.0002888,-.0008857,.0000144,.0000323,-4.98e-09,-8.52e-09
145,.0054136,.0094676,-.0002472,-.0003664,-9.74e-06,.0000227,-3.28e-09,-8.82e-09
146,.0106122,.0277356,-.0003506,-.0008022,.0000298,.0000216,-1.06e-08,-8.60e-09
147,.0086661,.0188332,-.0001874,-.0006549,-.0000177,.0000478,6.83e-09,-1.12e-08
148,.0066592,.048346,-.0001282,-.0013049,-2.33e-06,.0000327,-2.85e-09,-9.44e-09
149,.0024974,.0391837,.0000327,-.0008937,6.87e-06,.0000296,-3.51e-09,-7.30e-09
150,.0066804,.0490701,-.0002771,-.0012522,.0000214,.0000208,-5.40e-09,-5.93e-09
151,.0117883,.0360402,-.0002584,-.0008609,9.99e-06,.0000325,-2.96e-09,-1.08e-08
152,.0075979,.0164516,-.0004079,-.0006566,.0000289,.0000256,-1.13e-08,-6.51e-09
153,.0075122,.0408002,-.000331,-.0010018,.0000382,-1.10e-06,-1.24e-08,-1.41e-09
154,.0086602,.0226499,-.0001912,-.0008017,-.0000106,.0000352,3.64e-09,-1.08e-08
155,.0087291,-.0031005,-.0001903,-.0001951,3.33e-07,7.63e-06,1.30e-10,-3.14e-09
156,.006569,.0359382,-.0001791,-.0009676,7.34e-06,.0000437,-2.26e-09,-1.25e-08
157,.0102227,.0521693,-.0005244,-.0012997,-.0000217,.0000322,3.58e-09,-1.02e-08
158,.0043665,.0286003,-.0001038,-.0007249,5.23e-06,.0000122,-1.97e-09,-3.05e-09
159,-.0002877,.0225956,.0000636,-.0005598,.00001,.0000487,-3.58e-09,-1.34e-08
160,.0063351,-.0121532,-.0002675,.0001765,-5.42e-06,.0000609,-1.67e-10,-1.57e-08
161,.0152304,.025351,-.0006209,-.0007309,9.51e-06,.0000297,-2.24e-09,-7.66e-09
