run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
745,.0169191,-.0015571,-.0076262,-.0058206,-.0060621,-.0151927,.0040639,.0204849,-.0029609,.0125083,.0032559,.0220298,-.0007653,-.0001398,.0003189,.0001722,.0002635,.0002198,-.0003203,-.0006184,.000174,-.0001249,.0000916,-.0004889,.0075898,.0324525,-.0002376,-.00098
746,.0060071,.0232168,-.0111059,.0002569,-.0066303,-.0102268,-.0093518,.0014633,-.0020122,.0075588,.0092052,-.0035124,-.0003273,-.0006672,.000463,.0001647,.0000714,.0000951,.000252,-.0000455,.0000212,-.0000502,-.0002299,.0001141,-.0138879,.0187566,.0002504,-.0003889
747,.0128673,.0204633,-.0025612,.0299927,.0007644,-.0113667,-.00629,.0434523,-.0000351,-.032087,-.0017581,.0021203,-.0005698,-.0007176,.0002571,-.0005464,8.26e-06,.0002199,.0002859,-.0011479,4.42e-06,.0010697,.0003147,-.0002179,.0029873,.0525749,.0003005,-.0013401
748,.0120667,.005229,-.0079677,.0032752,-.0071944,-.0363738,.0018551,.0069913,.0000496,-.0102172,.0075896,.0175446,-.0004703,-.000392,.0003528,.0000144,.0002077,.000697,-.0002465,-.0004035,.0000719,.0004909,-.0002415,-.0005408,.0063989,-.0135508,-.0003259,-.0001339
749,.0107458,.0083738,-.0084286,.0025418,-.0062768,-.0221862,-.0077458,.0000295,.0007495,-.0017477,.0033826,.0051923,-.0004353,-.0003227,.0002817,.0000732,.0002714,.000454,.000187,-.0001338,-.0000815,.000122,-.00002,-.0002469,-.0075733,-.0077964,.0002033,-.0000541
750,.0096364,.0154096,-.0088471,.0042526,-.0077946,-.0151574,-.0047961,.0131075,.0006194,.0060866,.0042803,.0041164,-.0004239,-.0005154,.0003335,.0000623,.0002604,.0001191,.0001299,-.0003437,.0000515,.0000248,-.0000623,-.0000565,-.0069017,.0278152,.000289,-.0007094
751,.0085702,-.018584,-.0089697,-.0045395,-.0118277,-.0391649,-.0039047,.0211107,-.0057563,-.0095703,.0132446,-.0068387,-.0003867,.000103,.0002112,.0003391,.0003999,.0008551,-.000089,-.0006076,.0002865,.0002476,-.0004468,.0001927,-.0086436,-.0575866,-.0000249,.0011298
752,.009978,.0070736,-.0129956,-.0099083,-.0065173,-.0285498,-.000754,-.0048236,.0016298,.0029915,-.0018943,.0125786,-.0005182,-.0003536,.0005778,.0003377,.0002445,.0004576,-.0000716,-.0000415,-.0000942,.0000319,.000214,-.0002483,-.0105533,-.020638,.0003523,.0001839
753,.0046541,.0105311,-.0087752,.0001472,-.0014603,-.0275405,-.0047797,-.0043045,-.0050455,-.0100232,.0053136,-.0015871,-.0003536,-.0005492,.0002361,.0001975,.0000553,.0003614,.000098,-.0001056,.0002366,.0002471,-.000197,.0000241,-.0100929,-.032777,.0000755,.0001753
754,.0097985,-.0029521,-.0087016,-.0141206,-8.10e-06,-.0271216,-.0014636,-.0036501,-.0064535,-.0027109,.0012013,.0103837,-.000487,-.0003702,.0004,.000407,-.0000621,.0005155,.0000726,-.0001122,.0003897,.0003155,.0000235,-.0004329,-.0056269,-.0401716,.0003366,.0003227
755,.0084218,-.0058152,-.0088004,.0018715,-.0020822,-.040862,-.0015274,.0074564,-.0019185,-.0107002,.0063683,.0083621,-.0003496,-.0002179,.0004561,.0001299,.0001038,.0008025,-.0000391,-.0001393,.0001945,.0003812,-.0002221,-.0002155,.0004616,-.0396875,.0001436,.0007408
756,.010556,.0169952,-.0075602,.0012776,-.0027897,-.0147011,-.0021395,-.0014128,.00138,.0058205,-.0002922,.0103104,-.0003899,-.0005076,.0003495,.0001221,.0001726,.000345,.0001028,-.0000261,-.0000453,-.0000149,.0001077,-.0002738,-.0008457,.0182899,.0002974,-.0003554
757,.0204662,-.0300983,-.0042521,-.0011884,-.002779,-.0541533,.0004461,.003375,.0018047,-.0354585,-.0015977,.0033631,-.0008619,.0004211,.0000723,.0002087,-5.99e-06,.0011449,-.0002313,-.0002904,-.0000473,.0010418,.0001703,-.0001717,.0140882,-.1141604,-.000904,.0023544
758,.0044647,-.0126272,-.0077684,.0015359,-.0009661,-.0202845,-.0112095,.0058088,.0044816,-.0076898,.0000925,.0073769,-.0003389,.0001617,.0003017,.0001522,-.0000728,.0003358,.0004378,-.000316,-.0002918,.000355,.0001303,-.0001313,-.0109052,-.0258799,.0001663,.0005573
759,.0026975,.0064658,-.0138344,-.0048531,-.0056362,-.0134589,-.0066958,-.0157687,.0012246,.0102209,.0107833,.0082402,-.0002986,-.0002501,.0004729,.0001519,.0001304,.0001718,.0002503,.0002093,-.0001532,-.0001075,-.0003001,-.0001414,-.011461,-.0091538,.0001017,.0000341
760,.0021582,.0465357,-.0102201,.0147486,-.0012656,.004285,.0020591,.0042705,-.0044049,-.0028745,.0013243,-.0047627,-.0001914,-.0012825,.0005017,-.0001933,-4.08e-06,-.0001969,-.0002303,-.0002763,.0001854,.0002176,-.0000909,.0000275,-.010349,.0622027,.0001704,-.0017038
761,.0056963,.0035189,-.0092767,-.0110927,-.0084577,-.0029482,-.0069099,.001368,.0021933,.0249789,.0033817,.0025844,-.0002364,-.0004164,.00035,.0003323,.0002796,.0000494,.0001618,-.0000462,-.0001111,-.0004823,.0000374,-.0001311,-.013373,.0184094,.0004813,-.0006943
762,.0040881,-.0289848,-.01007,.0003311,-.0078924,-.050028,-.0079199,.0056606,.0016644,-.0121897,.0103684,-.0099623,-.0001585,.0004292,.0003996,.0001496,.0001178,.0009855,.0002009,-.0002153,-.0000632,.000306,-.0003305,.0001874,-.0097615,-.0951731,.0001661,.0018424
763,.0124967,.0056262,-.0057348,-.0158685,.0069139,-.023189,-.0023031,-.0076629,-.0030427,-.0002164,.0062474,.004239,-.0005761,-.0003924,.0002182,.0004014,-.0002285,.0004538,8.53e-06,.000039,.0002187,.0001048,-.0002612,-.0001632,.0145773,-.0370715,-.0006204,.0004434
764,.0129763,.0010154,-.0055957,-.0216603,-.0055687,.0018918,-.0013801,-.0130629,-.0044325,.0080283,.0023949,.0066376,-.0007121,-.0000993,.0001049,.0006316,.0002695,-.0000586,-.0000751,4.58e-06,.0001805,-1.81e-06,.0000221,-.0002713,-.0016057,-.0171501,-.0002102,.0002051
765,.0155577,.0133205,-.0136838,-.0034985,-.0175798,-.0126095,-.0038192,-.0085831,-.0038584,.0072461,.0098227,.0086594,-.0006631,-.0004954,.0003877,.0003152,.0005045,.0003123,-.0002816,-.0000165,.0000823,-.0000175,-.0003173,-.0002379,-.0135609,.0045348,-.0002874,-.0001399
